feature,importance
terminal_fraud_count,0.4594817
amount_to_cust_avg_ratio,0.25896123
cust_fraud_count,0.11425155
amount_to_terminal_avg_ratio,0.0793196
TX_AMOUNT,0.039382726
cust_avg_amount,0.011422979
terminal_tx_count_24h,0.0054102545
month,0.0048813657
cust_std_amount,0.0043080165
terminal_tx_count,0.004248557
day_of_week,0.003445631
cust_tx_count,0.0033472187
cust_tx_count_24h,0.0029720732
terminal_avg_amount,0.0025409814
day_of_month,0.0024324122
amount_log,0.0020239002
hour,0.001569803
is_weekend,0.0
